132500,0.09,0,42,50000,0,0,3,4,2,906,35,2,1,1,5
181115,0.92,0,0,22300,0,0,2,3,2,1953,51,3,0,2.5,6
395000,0.7,0,16,35000,0,1,2,3,3,2803,64,4,1,3,10
171500,0.07,0,20,16800,0,1,3,4,3,1479,64,3,1,1.5,4
268000,0.48,0,27,62000,0,1,2,2,3,2147,64,4,1,2.5,10
166500,0.06,0,20,16400,0,1,3,4,3,1314,64,2,1,1.5,4
355000,0.43,0,7,39000,0,1,2,2,3,2330,64,4,1,2.5,7
165000,0.93,0,13,38300,0,0,2,2,2,1352,64,3,0,1,8
300000,0.08,0,34,37300,0,0,2,3,3,2276,64,5,1,2.5,10
350000,0.5,0,18,63500,0,1,2,2,3,2162,64,4,1,2.5,9
279900,0.49,0,19,62800,0,1,2,2,3,2091,64,4,1,2.5,8
265000,0.65,0,37,33500,0,0,2,3,3,2564,64,4,1,2.5,8
267000,0.31,0,33,25100,0,0,2,2,3,2050,64,4,0,1.5,9
235000,0.76,0,38,35300,0,0,2,3,3,1768,64,3,0,2,5
299900,0.46,0,18,60500,0,1,2,2,3,2497,64,3,1,2.5,9
167000,0.07,0,26,16800,0,1,2,2,3,1290,64,2,1,1.5,7
168000,0.4,0,149,28000,0,0,4,2,2,1776,64,3,0,2,8
150000,0.07,0,21,16800,0,0,3,4,3,1480,64,3,0,1.5,6
255000,0.41,0,21,25400,0,1,2,2,3,1910,64,4,0,2.5,6
455000,4.2,0,29,70500,0,1,3,4,2,2828,64,3,1,2.5,10
351100,0.46,0,3,16100,0,0,2,2,3,2535,64,4,1,2.5,10
315000,0.46,0,36,27400,0,0,2,3,3,2576,64,4,1,2.5,12
220000,0.4,0,21,28000,0,0,2,2,3,1500,64,3,0,1.5,7
159000,0.14,0,20,18400,0,0,3,4,3,1480,64,3,0,1.5,8
341000,0.57,0,16,68800,0,1,2,2,3,2250,64,3,1,2.5,8
276000,0.47,0,19,36600,0,1,2,2,3,1831,64,3,1,2,5
309000,0.49,0,19,62800,0,1,2,2,3,2214,64,4,1,2.5,10
217021,0.46,0,31,32700,0,0,2,3,2,1846,64,3,0,1.5,7
188500,0.05,0,19,16000,0,1,2,2,3,1302,64,2,0,1.5,6
